age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
25,0,105331,9,4,0,3,4,1,0,0,45,39,0
41,4,199797,7,2,11,0,1,1,0,0,60,9,0
39,4,242588,4,4,3,1,4,1,0,0,40,39,0
62,0,28006,7,4,10,5,4,0,0,0,27,39,1
68,4,241812,11,2,14,0,4,0,0,0,34,13,0
39,4,33038,9,0,4,4,4,1,0,0,50,11,1
96,6,63572,5,6,3,1,4,1,0,0,40,39,0
30,4,41805,15,4,1,4,2,0,0,0,40,39,0
31,4,85730,11,0,4,4,4,0,0,0,40,39,0
57,6,240968,11,2,3,0,4,1,0,0,40,39,1
49,4,175348,14,4,10,3,4,0,0,0,55,39,1
40,4,25614,15,4,12,1,4,1,0,0,85,39,0
49,4,472507,11,2,3,0,4,1,0,0,40,39,0
22,4,75603,11,4,8,3,4,0,0,0,50,39,0
49,1,236929,9,2,14,0,4,1,0,0,40,39,1
45,4,92676,15,0,3,1,4,1,0,0,50,39,1
33,4,189483,11,4,4,4,4,0,0,0,45,39,0
50,4,95944,11,0,8,4,4,1,0,0,40,39,0
31,4,114212,9,2,4,0,4,1,0,0,40,39,1
45,4,243738,9,2,4,0,4,1,0,0,45,40,1
42,4,129241,11,0,3,4,4,0,0,0,40,39,0
49,2,86101,12,0,10,1,4,1,0,0,50,39,0
16,4,102042,15,4,12,1,0,1,0,0,11,31,0
18,0,244977,9,4,0,3,1,1,0,0,20,35,0
36,4,243925,8,4,8,3,4,0,0,0,40,39,0
34,4,108303,3,0,13,4,4,0,0,0,40,33,0
59,6,96332,11,2,4,0,4,0,3296,0,35,39,0
35,4,134776,11,2,6,0,4,1,0,0,40,39,0
36,2,39614,15,2,3,3,3,1,0,0,40,39,0
53,4,192949,11,2,6,0,4,1,0,1888,60,39,0
20,4,114379,7,4,1,4,2,0,0,0,40,39,0
59,4,237104,5,4,4,1,4,1,0,0,50,8,0
30,4,20218,15,4,1,3,4,0,0,0,51,39,0
31,4,358516,9,4,10,3,4,1,0,0,36,39,1
50,0,114872,15,2,0,0,4,1,2904,0,45,20,1
48,4,193024,11,2,8,0,4,1,0,0,81,39,0
38,7,212188,11,2,3,0,4,1,0,0,40,39,0
45,4,33861,7,2,12,0,4,1,0,1889,40,39,0
38,4,182275,9,0,4,2,4,1,0,0,56,39,0
41,4,196981,11,2,3,0,4,1,0,0,40,39,0
92,5,124513,9,0,9,1,4,1,7255,0,50,39,0
54,7,147627,8,4,13,1,4,1,0,0,40,39,0
27,4,221238,6,4,4,1,4,1,0,0,40,39,0
46,4,103228,9,4,7,3,4,1,99349,0,60,26,0
66,4,104011,11,6,1,4,4,0,0,0,37,39,0
35,4,48875,11,0,8,4,4,0,0,0,40,14,0
72,4,126274,11,6,7,4,2,1,3139,0,34,1,0
38,4,18756,7,2,10,0,4,1,5688,0,50,39,1
21,4,186230,7,0,3,3,4,1,0,0,40,39,0
54,5,208647,15,2,4,0,4,1,0,0,68,39,1
54,4,199218,2,4,10,2,4,1,0,0,38,39,1
50,4,166908,9,2,4,0,4,1,0,0,60,39,1
18,7,184691,11,4,8,1,1,1,0,0,40,39,0
51,4,234017,7,2,12,0,4,1,0,0,32,10,1
30,4,101111,7,2,3,5,2,0,0,1969,34,39,0
38,4,191978,7,0,4,4,4,1,0,0,44,39,0
39,7,14393,15,0,4,1,4,1,0,0,40,39,0
33,4,127939,7,4,12,1,4,0,0,0,50,39,0
28,4,257058,15,4,6,1,4,1,0,0,45,39,0
67,4,275091,15,0,1,4,2,0,0,0,40,39,0
35,4,76588,9,2,4,0,1,1,0,0,50,20,1
63,4,192841,11,2,3,0,4,1,0,0,40,39,0
41,4,184088,15,2,3,0,4,1,7212,0,50,33,0
36,4,102735,11,2,1,0,4,1,0,0,50,39,0
34,4,46255,15,2,12,0,2,1,0,0,60,39,0
21,4,123621,15,4,4,3,1,1,0,0,40,39,0
30,4,40092,11,6,7,4,4,0,0,0,21,39,0
20,7,261952,9,4,10,1,1,0,0,0,50,8,1
45,5,179186,15,2,10,0,4,1,0,0,40,0,0
43,4,132140,15,2,3,0,4,1,0,0,50,39,1
29,5,95793,15,2,4,0,4,1,0,0,40,39,0
46,4,236525,15,4,3,4,2,1,0,0,40,23,0
19,4,205462,15,0,8,0,4,1,0,0,21,39,0
57,1,117266,15,0,4,2,1,0,0,0,40,39,0
32,4,212836,7,4,3,2,4,0,0,0,20,39,0
25,4,316139,11,2,12,0,4,1,0,0,50,39,0
19,4,174141,15,4,12,1,4,1,0,0,46,39,0
33,2,329140,15,4,6,1,4,1,0,0,40,39,0
24,0,112931,15,4,0,1,2,0,0,0,40,39,0
59,4,125340,11,2,3,0,4,1,0,0,40,12,0
24,4,366608,4,3,3,1,3,1,0,0,40,26,0
22,7,213488,9,4,1,3,1,0,0,0,40,39,0
19,4,343887,11,4,8,1,1,1,3234,0,28,39,0
29,2,27808,15,5,4,1,4,0,0,0,50,39,0
19,4,244396,7,4,3,3,4,1,0,0,40,35,0
40,2,252446,6,0,9,1,4,0,0,0,45,26,0
26,4,118198,15,2,3,0,4,1,0,0,50,39,1
45,4,302339,6,0,11,4,3,0,0,0,40,13,0
38,4,49486,6,0,13,4,4,0,0,0,60,39,0
22,6,92217,11,2,4,0,4,0,0,0,50,39,0
45,4,132701,5,4,3,1,4,1,0,1442,51,39,0
42,0,206651,15,4,0,1,0,0,0,0,40,39,0
30,4,48233,11,4,4,3,4,1,0,0,34,39,0
21,4,308821,8,4,1,3,4,0,0,0,34,39,0
25,5,183443,4,4,12,1,4,0,0,0,12,39,0
48,4,93990,12,0,4,1,2,1,0,0,40,11,0
59,6,191103,7,2,4,5,4,0,0,0,40,39,0
34,4,121058,7,4,10,3,1,1,0,0,40,39,0
34,4,156815,7,4,1,4,4,0,0,1990,40,39,0
34,4,277218,11,2,3,0,4,1,0,0,40,39,0
20,4,304550,9,4,8,4,4,1,0,0,39,39,0
35,4,129095,11,4,4,1,4,1,0,0,50,39,1
27,4,290814,9,2,1,2,4,0,0,0,40,39,0
27,0,342572,11,2,3,0,2,1,0,0,50,39,0
42,4,182524,11,3,3,1,4,1,0,0,50,39,0
76,5,172836,9,2,4,0,4,1,0,0,45,39,1
45,7,98727,10,2,4,0,4,1,0,0,40,39,1
36,4,320185,11,0,1,1,4,0,0,0,44,39,1
16,4,165770,7,4,8,1,4,1,0,0,60,39,0
61,4,100697,15,2,3,0,4,1,0,0,50,39,0
22,4,238314,5,0,4,1,4,1,0,0,68,39,0
62,4,90526,7,2,4,4,4,0,7286,0,40,39,0
32,4,97035,11,2,4,0,4,0,0,0,40,39,0
52,4,102185,15,2,5,0,4,1,0,0,54,39,0
41,2,326599,7,4,10,3,4,0,0,0,40,39,0
47,4,82633,11,4,3,1,4,1,0,0,50,39,0
57,0,203433,0,2,0,0,4,1,0,0,40,39,0
28,2,44130,8,5,1,4,4,0,0,0,40,39,0
34,5,165219,9,2,4,0,4,1,0,0,45,39,1
49,1,119022,15,2,4,0,4,1,0,0,37,39,1
31,4,293126,11,2,3,0,4,1,0,0,55,39,1
20,4,117507,7,2,4,5,4,0,0,0,60,0,0
50,4,133362,11,0,12,1,4,1,0,1540,55,39,0
54,4,48490,15,2,8,0,4,1,0,0,103,39,0
33,4,328964,7,4,12,3,4,0,0,0,60,39,0
22,5,177464,11,5,1,3,4,0,0,0,87,39,0
61,5,32921,7,2,4,0,4,0,0,0,51,39,1
52,4,32303,12,2,1,0,4,1,3226,0,51,39,1
33,4,227860,11,5,3,1,2,1,0,0,50,39,0
26,4,118400,15,0,1,2,1,1,0,0,40,39,0
68,4,178003,0,2,7,0,4,1,0,0,40,39,0
49,4,153450,11,0,1,4,4,0,0,0,30,39,0
51,5,121770,12,2,10,0,4,1,24039,1876,54,39,1
91,4,101825,11,4,8,1,4,1,3273,0,35,39,0
59,2,180409,5,2,11,0,4,1,0,0,50,39,0
27,2,34468,7,4,5,3,4,1,0,0,19,39,0
68,4,212024,6,2,6,0,4,1,0,0,10,39,0
34,4,240786,15,2,6,0,4,1,0,0,60,39,0
27,4,208947,11,2,3,0,4,1,0,0,60,39,0
41,4,155592,12,4,8,1,2,1,0,0,40,39,0
41,4,192064,11,2,6,0,4,1,0,0,50,39,0
50,4,85405,11,2,3,0,2,1,0,0,50,39,0
29,4,294719,15,4,3,1,4,1,0,0,50,39,0
42,4,192343,9,2,4,0,4,1,0,0,40,39,1
47,7,120840,11,2,5,0,4,1,0,0,60,39,0
44,2,263283,7,2,5,0,4,1,0,0,40,39,0
37,4,438823,15,4,7,1,0,1,0,0,40,11,0
37,4,220088,1,2,3,0,4,1,0,1300,60,39,0
18,4,233093,11,4,3,3,4,1,0,0,27,39,0
30,4,59917,11,2,6,0,4,1,0,0,40,39,0
25,4,405697,11,2,3,0,4,1,0,0,40,39,0
55,7,239206,10,2,10,0,4,1,0,0,40,39,0
50,4,160850,4,2,8,2,4,1,0,0,40,26,0
35,5,44565,9,2,5,0,4,1,0,0,45,39,0
47,5,183334,12,2,10,0,1,1,0,0,55,39,1
45,0,146047,10,4,0,3,4,0,0,0,11,39,0
51,4,110927,9,2,12,0,4,1,0,0,40,39,1
38,4,236401,6,0,5,1,4,1,0,0,60,39,0
40,4,193615,11,2,1,0,4,1,0,1983,45,39,1
22,4,213246,11,0,4,4,4,1,0,0,40,39,0
23,4,235483,15,4,3,1,4,1,0,0,50,39,0
28,2,269132,9,0,1,1,4,1,0,0,50,39,0
58,4,170160,7,2,13,0,1,1,0,0,40,2,1
18,4,270203,4,4,5,1,4,1,0,0,21,26,0
26,4,186883,11,0,8,5,4,0,0,0,45,39,0
42,6,222645,11,2,3,0,4,1,0,1984,40,39,0
53,7,58895,11,0,1,4,4,0,0,0,38,39,0
65,4,189553,15,5,3,4,4,1,0,0,50,39,0
17,0,289419,1,4,8,3,4,1,0,0,32,39,0
51,6,106183,11,0,14,1,4,1,0,0,35,39,0
48,4,637717,11,2,1,0,4,1,0,0,40,39,0
46,7,106465,15,5,1,1,2,0,0,0,40,39,0
29,4,143089,15,4,1,1,4,0,0,0,40,39,0
51,4,80768,9,0,4,1,4,1,0,0,45,39,0
21,6,166690,11,0,4,1,4,1,0,0,45,39,0
61,7,183048,11,2,14,0,4,0,0,0,38,39,0
52,4,170454,10,4,6,1,4,1,0,0,32,18,0
64,6,110936,8,4,3,2,4,1,0,0,59,39,0
18,4,247783,5,4,8,4,2,0,0,0,40,39,0
47,5,249728,7,2,14,0,4,1,0,0,82,39,0
45,4,128615,15,0,8,4,2,0,0,0,50,39,0
34,4,128367,8,4,1,4,2,0,0,1538,40,39,0
38,2,215938,7,2,10,0,4,1,0,2016,49,39,1
34,4,106060,15,2,3,0,4,1,0,0,40,39,0
82,4,145323,9,2,4,0,4,1,0,0,60,39,1
25,4,169661,8,4,8,1,1,0,0,0,33,30,0
24,1,351295,9,4,8,1,4,0,0,0,32,39,0
35,4,102484,11,2,6,0,4,1,0,0,45,39,0
38,4,241954,15,0,3,1,4,1,0,0,40,39,0
30,7,53996,11,2,4,0,4,0,0,0,43,39,0
41,4,372581,15,4,3,1,4,1,0,0,40,35,0
18,4,354517,1,2,6,0,4,1,0,0,40,39,0
44,4,27013,8,0,8,4,4,0,0,0,50,39,0
37,4,186612,15,4,10,1,4,0,0,0,40,39,0
93,7,126378,10,6,4,1,4,1,1556,0,40,39,1
31,5,186860,15,2,12,0,4,1,0,0,45,39,0
46,4,137546,15,0,1,4,4,0,0,0,40,39,0
42,4,171109,12,2,10,0,4,1,0,0,60,39,1
25,4,174203,9,3,9,1,4,1,0,0,45,39,0
52,4,231898,6,0,8,4,4,0,0,0,45,26,0
46,7,116631,3,4,1,1,4,1,0,0,40,39,0
61,5,180846,9,2,4,0,4,1,0,0,40,39,1
26,4,36234,11,4,3,3,4,0,0,0,61,39,0
49,5,30515,15,2,4,0,4,1,0,0,81,39,0
19,4,346019,11,4,6,1,0,1,0,0,35,39,0
34,4,169219,9,4,6,3,4,1,0,0,59,39,0
21,4,242067,5,6,8,1,4,1,0,0,20,39,0
23,4,41558,15,4,11,3,0,1,0,0,60,39,0
37,4,196498,7,0,10,5,1,0,0,0,40,27,0
49,4,259880,8,0,14,3,4,0,0,0,40,39,0
36,4,463189,15,4,6,1,4,1,0,0,40,39,0
35,4,132792,11,2,10,0,4,1,0,0,60,39,0
73,4,179842,7,2,1,5,4,0,0,352,40,39,0
41,4,180361,7,4,4,1,4,1,0,0,30,22,0
24,4,184424,11,4,6,4,4,1,0,0,40,13,0
27,7,130014,11,2,1,0,4,1,0,0,60,39,0
23,4,97302,11,0,1,4,4,0,0,0,37,12,0
54,4,180894,11,2,3,0,4,1,7199,1982,40,39,1
44,2,51756,7,5,11,4,4,0,0,0,40,39,0
30,4,239527,15,4,7,1,4,1,0,0,40,26,0
50,4,472249,15,2,10,0,4,1,0,0,50,39,1
30,4,124349,15,4,11,1,4,1,0,0,50,39,0
61,6,235793,15,2,4,0,4,1,0,0,45,39,1
53,2,426461,10,2,10,0,4,1,0,1888,60,39,1
22,4,122184,11,2,3,0,1,1,0,0,40,39,0
38,7,176444,7,4,4,4,4,0,0,1307,40,39,0
29,4,203853,15,4,11,1,1,1,0,0,60,39,0
54,4,188341,11,2,6,0,4,1,14751,0,60,39,0
19,1,286219,15,4,13,1,1,0,0,0,40,39,0
36,4,245482,7,0,10,4,1,1,0,0,40,39,0
32,4,167349,12,4,10,3,4,1,0,0,10,39,0
18,7,47858,11,4,4,4,4,1,0,0,40,39,0
19,4,107954,11,4,8,1,1,1,0,0,21,6,0
42,4,75320,9,2,1,0,4,1,0,0,40,39,1
46,4,215235,6,4,7,4,2,0,0,0,45,39,0
53,4,420971,7,2,12,0,4,1,0,0,40,39,0
39,6,109862,11,2,3,0,4,1,0,0,61,39,0
24,4,216142,9,4,11,1,4,1,0,0,50,39,0
41,4,38174,2,0,8,4,4,0,0,0,30,13,0
53,4,235032,5,2,9,0,4,1,0,0,45,39,0
30,4,241212,9,0,9,1,4,0,0,0,45,30,0
39,4,215449,10,2,6,0,4,1,0,0,60,39,0
23,4,75017,15,0,3,1,4,1,0,1542,40,39,0
37,4,226751,11,0,9,1,4,0,0,0,52,39,0
43,2,185212,9,0,14,1,4,0,0,0,45,39,0
26,4,235421,9,0,4,4,4,0,0,0,45,39,0
61,0,100318,11,2,0,0,4,1,0,0,45,39,0
69,4,163913,9,2,3,0,4,1,0,0,51,28,1
69,2,291829,15,0,4,1,4,0,0,0,50,39,0
18,0,231216,11,4,0,1,4,1,0,0,40,39,0
52,4,130491,15,6,7,4,2,0,0,0,40,23,0
59,0,240878,5,4,0,1,4,0,0,0,11,39,0
41,4,180561,15,4,12,1,4,1,0,0,50,39,0
29,4,166525,9,3,6,1,4,1,0,0,50,39,1
48,4,132739,7,0,4,5,1,0,0,0,68,20,1
68,4,171397,11,0,4,4,4,0,0,0,40,39,0
27,4,204436,15,4,11,1,2,1,0,0,40,2,0
22,4,88454,2,4,4,4,4,1,0,0,35,39,0
24,7,105632,12,4,10,3,4,0,3160,0,40,39,0
52,4,224152,10,5,4,5,4,0,0,0,41,23,1
38,4,53343,7,2,12,0,4,1,0,0,50,39,1
30,4,104604,11,2,4,0,4,1,0,0,40,39,0
65,6,323392,5,2,3,0,4,1,0,0,48,39,0
49,4,174705,11,2,14,0,4,1,0,0,60,39,0
22,2,113086,9,4,3,3,2,1,0,0,40,39,0
42,4,120623,7,4,3,4,4,1,0,0,40,39,0
42,2,135391,15,2,4,0,2,1,0,0,40,39,0
33,4,172684,9,0,1,1,4,0,0,0,45,39,0
29,5,69138,15,2,3,0,4,1,0,0,51,39,0
22,7,29360,11,4,3,3,2,0,0,0,40,39,0
34,4,124498,8,4,1,3,4,0,0,1507,40,39,0
42,4,199039,11,4,1,5,4,0,0,1628,60,39,0
37,2,125484,11,0,11,2,4,1,0,0,40,39,0
71,4,103048,15,2,3,0,4,1,0,0,50,8,1
40,4,191386,5,2,3,0,4,1,0,0,49,39,0
34,2,152198,15,4,10,1,4,1,3143,0,40,39,0
21,2,36218,8,0,1,5,4,0,0,0,50,39,0
21,4,136354,1,4,8,1,2,0,0,0,25,39,0
30,5,32298,8,4,10,3,4,0,0,0,37,39,0
56,4,110274,11,2,6,0,4,1,0,0,40,39,0
35,4,111601,9,2,11,0,4,1,7568,0,40,39,0
42,4,516015,15,2,6,0,1,1,0,0,40,39,0
83,7,117713,12,4,4,1,1,0,1838,0,11,35,0
19,4,116107,15,4,1,2,4,0,0,0,40,39,0
48,4,164193,15,4,8,4,3,0,0,0,40,13,0
33,4,383399,5,3,8,2,4,1,0,1983,41,39,0
45,2,96600,15,4,4,3,4,1,24177,0,51,39,1
38,4,101219,11,4,7,4,4,1,0,0,40,13,0
35,6,99674,9,2,10,0,4,1,0,0,50,39,1
28,4,140187,11,2,6,0,4,1,0,0,60,26,0
35,4,181831,9,2,12,0,4,1,0,0,45,39,1
28,1,298035,9,4,4,3,4,1,0,0,50,19,1
51,6,175977,11,2,3,0,4,1,0,0,61,39,0
39,2,94617,7,4,1,3,4,0,0,0,40,39,0
48,2,124560,15,2,1,0,4,1,0,1889,60,39,1
31,0,152425,15,2,1,5,4,0,0,0,45,23,1
16,4,89490,15,4,8,3,4,1,0,0,21,39,0
54,5,62427,15,2,3,0,1,1,0,0,47,24,1
56,4,224259,6,0,8,4,4,0,0,0,40,26,0
56,4,181309,15,2,12,0,4,1,0,0,50,39,1
26,4,87756,11,4,3,1,4,1,0,0,40,39,0
35,4,281497,7,4,8,2,4,0,0,0,82,6,0
28,2,41169,15,2,11,0,4,1,0,0,40,39,0
51,4,183348,1,2,8,0,2,1,0,1985,55,39,0
28,4,55651,15,4,8,3,0,0,0,0,40,39,0
62,4,36784,8,2,3,0,4,1,0,0,40,39,0
39,4,120832,7,5,4,1,4,0,0,0,55,39,0
59,7,27032,7,2,4,2,4,0,0,0,81,39,0
66,4,55796,11,2,3,0,4,1,0,0,40,39,1
39,4,215654,3,0,4,1,4,0,0,0,50,39,0
54,4,182219,15,2,1,2,4,1,0,0,31,39,0
38,4,136197,15,4,8,4,4,0,0,0,40,39,0
19,6,127659,11,4,1,3,4,0,0,0,40,39,0
36,7,46203,11,2,11,0,4,1,2518,0,40,39,0
42,2,255618,9,0,1,4,4,0,0,0,40,39,0
51,5,92438,11,2,4,0,4,1,0,0,40,39,1
21,4,106439,15,4,6,1,4,1,4006,0,50,39,0
40,4,182488,7,2,10,0,4,1,0,0,40,39,1
39,4,100038,7,2,4,0,4,1,0,0,40,39,1
55,5,112602,15,2,3,0,1,1,7384,0,40,40,1
52,6,125805,7,2,10,0,4,1,0,0,50,39,1
41,4,102171,15,2,12,3,4,1,0,0,30,39,1
21,2,16607,8,4,14,3,4,0,0,0,31,39,0
35,4,106271,7,2,10,0,4,1,0,0,50,22,1
49,4,130234,12,0,1,4,1,0,0,0,60,39,0
21,5,254143,9,4,4,1,1,1,0,0,40,35,0
37,4,181650,6,2,6,0,4,1,6746,0,40,39,0
32,2,40688,8,5,0,1,4,0,0,0,34,39,0
83,5,42395,14,2,10,0,4,1,100517,0,10,39,0
25,4,115460,11,2,3,0,4,1,0,1953,40,39,0
49,7,137553,11,2,0,0,4,1,0,0,40,39,0
33,4,89387,11,4,4,1,4,1,0,0,40,39,0
67,6,379486,11,2,3,0,4,1,0,0,40,39,1
65,6,216771,8,4,1,3,4,0,0,0,35,39,0
61,0,125652,5,6,0,4,4,0,0,0,38,39,0
60,5,133338,15,2,11,0,4,1,0,0,40,39,0
24,4,99381,9,4,4,3,4,0,0,0,21,39,0
24,4,294664,15,5,1,1,2,1,0,0,40,39,0
31,4,91533,11,2,4,0,4,1,0,0,40,11,0
43,4,204632,11,0,3,1,4,1,0,0,50,39,0
29,2,82259,15,4,1,4,1,0,0,0,46,39,0
24,5,29678,2,4,10,3,4,1,0,0,45,39,0
49,2,19549,7,0,10,4,4,0,0,0,50,39,1
43,4,156132,11,0,4,1,4,1,0,0,45,39,0
37,4,176042,11,2,3,0,4,1,0,0,28,39,0
49,4,158178,1,0,8,1,4,1,0,0,45,39,0
54,7,88506,7,0,1,5,4,0,0,0,40,9,0
27,4,168633,15,0,12,1,4,0,0,0,45,39,0
22,4,236524,11,2,7,2,4,1,0,0,60,39,0
19,4,112216,15,4,3,2,4,1,0,0,50,39,0
40,4,108576,11,0,7,1,4,1,2009,0,40,39,0
60,4,206717,13,4,8,2,4,1,0,1984,40,26,0
60,4,157918,1,2,0,0,4,1,0,0,-2,39,0
41,4,236774,9,4,10,1,4,0,0,0,45,4,0
28,7,218180,11,4,3,1,2,1,0,0,40,39,0
23,4,231899,11,4,3,4,4,0,0,0,40,13,0
39,4,168344,11,2,6,0,4,1,0,0,50,39,0
60,7,213432,11,2,11,0,4,1,0,0,45,39,1
19,0,239815,15,4,0,3,0,1,0,0,20,39,0
40,4,145612,5,6,9,1,4,1,3243,0,31,8,0
43,4,212512,7,2,4,0,4,1,14742,0,40,39,1
38,4,179123,5,0,8,4,4,0,0,0,32,39,0
54,4,194239,1,2,8,0,4,1,0,0,33,26,0
38,2,129100,12,4,3,4,1,1,0,1541,40,39,0
46,4,112993,11,2,6,0,4,1,0,1913,54,39,0
54,7,566905,15,0,1,4,4,0,0,0,40,39,0
22,4,81681,11,4,6,3,4,1,0,1540,40,39,0
72,4,115330,7,4,1,4,2,0,0,0,35,22,0
28,4,142429,11,4,1,4,1,1,0,0,40,39,0
36,2,148468,15,4,11,1,1,0,0,0,50,39,0
35,4,228197,15,5,1,2,1,0,0,0,40,25,0
20,0,247536,11,4,3,3,4,0,0,0,34,39,0
65,5,195569,9,2,1,0,4,1,0,0,38,39,1
43,4,69714,7,2,1,0,4,1,0,0,45,39,0
19,4,154519,11,2,12,5,4,0,0,0,32,39,0
18,7,116303,9,4,12,3,2,1,0,0,40,39,0
33,4,162300,11,0,1,4,4,0,0,0,40,39,0
31,1,132291,7,4,1,4,1,0,0,0,40,23,0
47,0,120706,15,2,0,5,2,0,0,0,40,39,0
53,4,94942,9,4,7,4,4,0,0,0,40,13,0
26,4,436206,8,2,7,5,4,0,0,0,40,39,0
40,2,43997,7,0,4,4,2,0,0,0,40,39,0
25,4,90823,11,4,8,1,4,1,0,0,50,39,0
22,4,259685,11,4,8,1,4,1,0,0,50,39,0
40,2,358763,7,3,3,1,4,1,0,0,40,39,0
18,4,335024,9,4,12,1,4,0,0,0,40,39,0
46,0,136246,11,4,0,1,2,0,0,0,44,39,0
29,4,120982,9,4,12,1,4,1,0,0,60,39,0
20,4,186757,5,4,8,1,2,1,0,0,23,39,0
44,4,142176,10,4,10,1,4,0,99480,0,48,39,0
59,4,226243,11,2,3,0,2,1,0,0,50,39,1
51,4,201201,11,2,3,0,4,1,0,0,35,39,0
38,1,301019,15,0,1,1,4,1,0,0,50,29,0
28,4,50134,15,0,14,4,4,0,0,0,40,39,0
20,4,95762,15,4,4,3,4,0,0,0,40,39,0
36,4,95185,15,4,3,4,2,1,0,0,50,22,0
28,7,145395,12,4,11,3,1,1,0,0,40,39,0
64,4,84168,9,2,4,0,4,1,0,1543,55,39,1
48,4,100784,11,2,6,0,4,1,0,0,41,39,0
19,4,214956,15,4,6,2,2,1,0,0,40,39,0
52,4,298209,11,2,5,0,4,1,0,1647,40,39,0
47,4,159332,15,0,9,4,4,1,0,0,46,4,0
40,4,888571,7,0,1,4,2,0,0,0,40,39,0
22,4,351317,8,4,1,1,4,0,0,0,40,4,0
24,4,44002,8,4,8,3,0,1,0,0,40,39,0
29,4,266819,11,3,3,1,4,1,0,0,40,39,0
56,2,177254,9,0,10,4,4,1,7251,0,40,39,1
51,7,88512,11,2,3,0,4,1,6757,0,40,39,1
35,4,7386,7,0,8,1,4,0,0,0,52,39,0
49,4,129140,11,2,4,0,4,1,0,0,81,39,1
20,4,316331,11,4,8,1,4,1,0,0,11,39,0
18,4,170750,7,4,8,2,1,0,0,0,18,30,0
50,5,83908,11,2,5,0,4,1,0,0,60,32,0
55,6,114234,11,2,10,0,4,1,0,0,60,39,0
41,6,110213,15,4,4,3,4,1,0,0,40,39,0
45,4,347711,7,2,3,0,2,1,0,0,60,24,0
26,5,115789,8,2,10,0,4,1,0,0,40,39,1
26,0,219374,11,4,0,3,4,0,0,0,60,39,0
59,4,136227,9,0,10,1,4,1,0,0,45,36,0
